Home,Away,Score
Athletic Bilbao,Atlético Madrid,1–0
Athletic Bilbao,FC Barcelona,0–1
Athletic Bilbao,Real Betis,1–1
Athletic Bilbao,Burgos CF (I),4–0
Athletic Bilbao,CD Castellón,1–1
Athletic Bilbao,Celta de Vigo,1–1
Athletic Bilbao,Deportivo de La Coruña,3–0
Athletic Bilbao,RCD Espanyol,1–0
Athletic Bilbao,Granada CF,0–1
Athletic Bilbao,UD Las Palmas,1–0
Athletic Bilbao,CD Málaga,2–0
Athletic Bilbao,Sporting de Gijón,2–0
Athletic Bilbao,Real Madrid C.F.,2–1
Athletic Bilbao,Real Oviedo,3–3
Athletic Bilbao,Real Sociedad,2–1
Athletic Bilbao,Valencia CF,2–0
Athletic Bilbao,Real Zaragoza,1–0
Atlético Madrid,Athletic Bilbao,2–1
Atlético Madrid,FC Barcelona,2–0
Atlético Madrid,Real Betis,2–1
Atlético Madrid,Burgos CF (I),4–2
Atlético Madrid,CD Castellón,1–0
Atlético Madrid,Celta de Vigo,5–1
Atlético Madrid,Deportivo de La Coruña,3–1
Atlético Madrid,RCD Espanyol,0–0
Atlético Madrid,Granada CF,2–1
Atlético Madrid,UD Las Palmas,2–1
Atlético Madrid,CD Málaga,1–1
Atlético Madrid,Sporting de Gijón,0–1
Atlético Madrid,Real Madrid C.F.,1–2
Atlético Madrid,Real Oviedo,2–1
Atlético Madrid,Real Sociedad,2–1
Atlético Madrid,Valencia CF,1–3
Atlético Madrid,Real Zaragoza,0–0
FC Barcelona,Athletic Bilbao,1–0
FC Barcelona,Atlético Madrid,0–0
FC Barcelona,Real Betis,2–0
FC Barcelona,Burgos CF (I),2–0
FC Barcelona,CD Castellón,3–1
FC Barcelona,Celta de Vigo,2–0
FC Barcelona,Deportivo de La Coruña,3–1
FC Barcelona,RCD Espanyol,0–1
FC Barcelona,Granada CF,3–0
FC Barcelona,UD Las Palmas,3–1
FC Barcelona,CD Málaga,0–0
