Home,Away,Score
Athletic Bilbao,Atlético Madrid,2–0
Athletic Bilbao,FC Barcelona,1–1
Athletic Bilbao,Real Betis,5–1
Athletic Bilbao,Cádiz CF,3–0
Athletic Bilbao,CD Castellón,2–1
Athletic Bilbao,RCD Espanyol,3–1
Athletic Bilbao,Hércules CF,3–1
Athletic Bilbao,UD Las Palmas,3–1
Athletic Bilbao,CA Osasuna,5–1
Athletic Bilbao,Racing de Santander,4–1
Athletic Bilbao,Real Madrid C.F.,1–2
Athletic Bilbao,Real Sociedad,1–1
Athletic Bilbao,Sevilla FC,2–0
Athletic Bilbao,Sporting de Gijón,2–1
Athletic Bilbao,Valencia CF,1–0
Athletic Bilbao,Real Valladolid,4–0
Athletic Bilbao,Real Zaragoza,4–1
Atlético Madrid,Athletic Bilbao,2–0
Atlético Madrid,FC Barcelona,0–1
Atlético Madrid,Real Betis,1–0
Atlético Madrid,Cádiz CF,1–0
Atlético Madrid,CD Castellón,3–0
Atlético Madrid,RCD Espanyol,1–0
Atlético Madrid,Hércules CF,1–0
Atlético Madrid,UD Las Palmas,3–1
Atlético Madrid,CA Osasuna,2–1
Atlético Madrid,Racing de Santander,0–0
Atlético Madrid,Real Madrid C.F.,2–3
Atlético Madrid,Real Sociedad,2–0
Atlético Madrid,Sevilla FC,1–2
Atlético Madrid,Sporting de Gijón,1–1
Atlético Madrid,Valencia CF,2–1
Atlético Madrid,Real Valladolid,2–0
Atlético Madrid,Real Zaragoza,1–0
FC Barcelona,Athletic Bilbao,2–2
FC Barcelona,Atlético Madrid,2–0
FC Barcelona,Real Betis,2–2
FC Barcelona,Cádiz CF,4–0
FC Barcelona,CD Castellón,4–3
FC Barcelona,RCD Espanyol,1–3
FC Barcelona,Hércules CF,5–0
FC Barcelona,UD Las Palmas,4–0
FC Barcelona,CA Osasuna,2–0
FC Barcelona,Racing de Santander,5–1
FC Barcelona,Real Madrid C.F.,3–1
FC Barcelona,Real Sociedad,2–0
FC Barcelona,Sevilla FC,2–0
FC Barcelona,Sporting de Gijón,1–0
FC Barcelona,Valencia CF,5–1
FC Barcelona,Real Valladolid,3–1
FC Barcelona,Real Zaragoza,2–1
Real Betis,Athletic Bilbao,2–1
Real Betis,Atlético Madrid,3–1
Real Betis,FC Barcelona,2–0
Real Betis,Cádiz CF,2–0
Real Betis,CD Castellón,3–1
Real Betis,RCD Espanyol,2–0
Real Betis,Hércules CF,1–2
Real Betis,UD Las Palmas,4–1
Real Betis,CA Osasuna,2–0
Real Betis,Racing de Santander,1–1
Real Betis,Real Madrid C.F.,0–0
Real Betis,Real Sociedad,0–1
Real Betis,Sevilla FC,2–0
Real Betis,Sporting de Gijón,2–0
Real Betis,Valencia CF,2–3
Real Betis,Real Valladolid,4–0
Real Betis,Real Zaragoza,2–0
Cádiz CF,Athletic Bilbao,3–0
Cádiz CF,Atlético Madrid,1–0
Cádiz CF,FC Barcelona,1–0
Cádiz CF,Real Betis,0–2
Cádiz CF,CD Castellón,5–1
Cádiz CF,RCD Espanyol,0–0
Cádiz CF,Hércules CF,3–2
Cádiz CF,UD Las Palmas,0–2
Cádiz CF,CA Osasuna,1–0
Cádiz CF,Racing de Santander,1–0
Cádiz CF,Real Madrid C.F.,1–0
Cádiz CF,Real Sociedad,2–1
Cádiz CF,Sevilla FC,2–0
Cádiz CF,Sporting de Gijón,3–1
Cádiz CF,Valencia CF,0–0
Cádiz CF,Real Valladolid,0–0
Cádiz CF,Real Zaragoza,1–0
CD Castellón,Athletic Bilbao,1–2
CD Castellón,Atlético Madrid,3–0
CD Castellón,FC Barcelona,1–6
CD Castellón,Real Betis,0–0
CD Castellón,Cádiz CF,0–1
CD Castellón,RCD Espanyol,1–4
CD Castellón,Hércules CF,1–2
CD Castellón,UD Las Palmas,1–1
CD Castellón,CA Osasuna,1–1
CD Castellón,Racing de Santander,0–0
CD Castellón,Real Madrid C.F.,1–2
CD Castellón,Real Sociedad,1–3
CD Castellón,Sevilla FC,0–3
CD Castellón,Sporting de Gijón,0–2
CD Castellón,Valencia CF,1–4
CD Castellón,Real Valladolid,1–1
CD Castellón,Real Zaragoza,2–1
RCD Espanyol,Athletic Bilbao,1–0
RCD Espanyol,Atlético Madrid,2–2
RCD Espanyol,FC Barcelona,0–4
RCD Espanyol,Real Betis,2–4
RCD Espanyol,Cádiz CF,1–0
RCD Espanyol,CD Castellón,3–2
RCD Espanyol,Hércules CF,0–1
RCD Espanyol,UD Las Palmas,2–1
RCD Espanyol,CA Osasuna,0–1
RCD Espanyol,Racing de Santander,1–1
RCD Espanyol,Real Madrid C.F.,1–0
RCD Espanyol,Real Sociedad,2–1
RCD Espanyol,Sevilla FC,2–0
RCD Espanyol,Sporting de Gijón,5–1
RCD Espanyol,Valencia CF,3–2
RCD Espanyol,Real Valladolid,3–1
RCD Espanyol,Real Zaragoza,0–1
Hércules CF,Athletic Bilbao,3–1
Hércules CF,Atlético Madrid,0–1
Hércules CF,FC Barcelona,2–2
Hércules CF,Real Betis,3–1
Hércules CF,Cádiz CF,2–1
Hércules CF,CD Castellón,2–2
Hércules CF,RCD Espanyol,2–0
Hércules CF,UD Las Palmas,3–0
Hércules CF,CA Osasuna,1–2
Hércules CF,Racing de Santander,3–4
Hércules CF,Real Madrid C.F.,0–1
Hércules CF,Real Sociedad,2–0
Hércules CF,Sevilla FC,0–1
Hércules CF,Sporting de Gijón,1–0
Hércules CF,Valencia CF,2–2
Hércules CF,Real Valladolid,0–2
Hércules CF,Real Zaragoza,0–1
UD Las Palmas,Athletic Bilbao,2–1
UD Las Palmas,Atlético Madrid,1–2
UD Las Palmas,FC Barcelona,2–1
UD Las Palmas,Real Betis,3–1
UD Las Palmas,Cádiz CF,2–0
UD Las Palmas,CD Castellón,1–3
UD Las Palmas,RCD Espanyol,2–0
UD Las Palmas,Hércules CF,2–0
UD Las Palmas,CA Osasuna,0–0
UD Las Palmas,Racing de Santander,1–1
UD Las Palmas,Real Madrid C.F.,1–0
UD Las Palmas,Real Sociedad,0–0
UD Las Palmas,Sevilla FC,3–1
UD Las Palmas,Sporting de Gijón,1–1
UD Las Palmas,Valencia CF,3–0
UD Las Palmas,Real Valladolid,1–1
UD Las Palmas,Real Zaragoza,2–4
CA Osasuna,Athletic Bilbao,0–2
CA Osasuna,Atlético Madrid,0–1
CA Osasuna,FC Barcelona,3–2
CA Osasuna,Real Betis,0–1
CA Osasuna,Cádiz CF,6–1
CA Osasuna,CD Castellón,4–1
CA Osasuna,RCD Espanyol,3–0
CA Osasuna,Hércules CF,3–1
CA Osasuna,UD Las Palmas,1–3
CA Osasuna,Racing de Santander,2–1
CA Osasuna,Real Madrid C.F.,3–2
CA Osasuna,Real Sociedad,0–0
CA Osasuna,Sevilla FC,1–0
CA Osasuna,Sporting de Gijón,1–1
CA Osasuna,Valencia CF,2–1
CA Osasuna,Real Valladolid,1–1
CA Osasuna,Real Zaragoza,1–0
Racing de Santander,Athletic Bilbao,1–3
Racing de Santander,Atlético Madrid,1–0
Racing de Santander,FC Barcelona,0–1
Racing de Santander,Real Betis,2–1
Racing de Santander,Cádiz CF,2–1
Racing de Santander,CD Castellón,4–1
Racing de Santander,RCD Espanyol,2–1
Racing de Santander,Hércules CF,2–0
Racing de Santander,UD Las Palmas,3–1
Racing de Santander,CA Osasuna,0–3
Racing de Santander,Real Madrid C.F.,3–2
Racing de Santander,Real Sociedad,2–3
Racing de Santander,Sevilla FC,3–0
Racing de Santander,Sporting de Gijón,1–0
Racing de Santander,Valencia CF,1–1
