Home,Away,Score
Athletic Bilbao,Atlético Madrid,1–0
Athletic Bilbao,FC Barcelona,0–0
Athletic Bilbao,Real Betis,0–0
Athletic Bilbao,Burgos CF (I),1–1
Athletic Bilbao,Cádiz CF,6–1
Athletic Bilbao,Elche CF,4–1
Athletic Bilbao,RCD Espanyol,4–0
Athletic Bilbao,Hércules CF,2–1
Athletic Bilbao,UD Las Palmas,2–1
Athletic Bilbao,Racing de Santander,3–0
Athletic Bilbao,Rayo Vallecano,6–0
Athletic Bilbao,Real Madrid C.F.,2–0
Athletic Bilbao,Real Sociedad,1–0
Athletic Bilbao,UD Salamanca,3–1
Athletic Bilbao,Sevilla FC,2–1
Athletic Bilbao,Sporting de Gijón,1–0
Athletic Bilbao,Valencia CF,4–1
Atlético Madrid,Athletic Bilbao,0–1
Atlético Madrid,FC Barcelona,1–0
Atlético Madrid,Real Betis,1–1
Atlético Madrid,Burgos CF (I),2–1
Atlético Madrid,Cádiz CF,4–0
Atlético Madrid,Elche CF,3–1
Atlético Madrid,RCD Espanyol,2–1
Atlético Madrid,Hércules CF,3–1
Atlético Madrid,UD Las Palmas,2–1
Atlético Madrid,Racing de Santander,3–0
Atlético Madrid,Rayo Vallecano,4–0
Atlético Madrid,Real Madrid C.F.,1–3
Atlético Madrid,Real Sociedad,2–1
Atlético Madrid,UD Salamanca,4–2
Atlético Madrid,Sevilla FC,1–0
Atlético Madrid,Sporting de Gijón,5–1
Atlético Madrid,Valencia CF,3–0
FC Barcelona,Athletic Bilbao,3–1
FC Barcelona,Atlético Madrid,1–0
FC Barcelona,Real Betis,1–0
FC Barcelona,Burgos CF (I),3–0
FC Barcelona,Cádiz CF,1–1
FC Barcelona,Elche CF,5–1
FC Barcelona,RCD Espanyol,1–1
FC Barcelona,Hércules CF,2–1
FC Barcelona,UD Las Palmas,5–0
FC Barcelona,Racing de Santander,3–0
FC Barcelona,Rayo Vallecano,1–1
FC Barcelona,Real Madrid C.F.,2–3
FC Barcelona,Real Sociedad,1–0
FC Barcelona,UD Salamanca,3–1
FC Barcelona,Sevilla FC,3–1
FC Barcelona,Sporting de Gijón,1–0
FC Barcelona,Valencia CF,1–0
Real Betis,Athletic Bilbao,2–2
Real Betis,Atlético Madrid,4–3
Real Betis,FC Barcelona,0–0
Real Betis,Burgos CF (I),2–1
Real Betis,Cádiz CF,3–0
Real Betis,Elche CF,4–0
Real Betis,RCD Espanyol,3–1
Real Betis,Hércules CF,1–1
Real Betis,UD Las Palmas,1–2
Real Betis,Racing de Santander,3–1
Real Betis,Rayo Vallecano,1–0
Real Betis,Real Madrid C.F.,4–2
Real Betis,Real Sociedad,1–0
Real Betis,UD Salamanca,0–1
Real Betis,Sevilla FC,3–2
Real Betis,Sporting de Gijón,1–1
Real Betis,Valencia CF,1–1
Burgos CF (I),Athletic Bilbao,2–2
Burgos CF (I),Atlético Madrid,2–2
Burgos CF (I),FC Barcelona,1–1
Burgos CF (I),Real Betis,1–0
Burgos CF (I),Cádiz CF,2–1
Burgos CF (I),Elche CF,1–0
Burgos CF (I),RCD Espanyol,3–2
Burgos CF (I),Hércules CF,0–0
Burgos CF (I),UD Las Palmas,2–1
Burgos CF (I),Racing de Santander,0–0
Burgos CF (I),Rayo Vallecano,2–1
Burgos CF (I),Real Madrid C.F.,3–2
Burgos CF (I),Real Sociedad,3–2
Burgos CF (I),UD Salamanca,0–2
Burgos CF (I),Sevilla FC,1–0
Burgos CF (I),Sporting de Gijón,0–0
Burgos CF (I),Valencia CF,2–0
Cádiz CF,Athletic Bilbao,2–1
Cádiz CF,Atlético Madrid,2–1
Cádiz CF,FC Barcelona,0–2
Cádiz CF,Real Betis,0–5
Cádiz CF,Burgos CF (I),4–0
Cádiz CF,Elche CF,0–0
Cádiz CF,RCD Espanyol,2–4
Cádiz CF,Hércules CF,0–0
Cádiz CF,UD Las Palmas,3–2
Cádiz CF,Racing de Santander,0–0
Cádiz CF,Rayo Vallecano,2–1
Cádiz CF,Real Madrid C.F.,1–0
Cádiz CF,Real Sociedad,2–0
Cádiz CF,UD Salamanca,0–1
Cádiz CF,Sevilla FC,0–0
Cádiz CF,Sporting de Gijón,1–1
Cádiz CF,Valencia CF,1–2
Elche CF,Athletic Bilbao,2–1
Elche CF,Atlético Madrid,4–4
Elche CF,FC Barcelona,1–3
Elche CF,Real Betis,2–1
Elche CF,Burgos CF (I),1–0
Elche CF,Cádiz CF,1–1
Elche CF,RCD Espanyol,2–0
Elche CF,Hércules CF,2–0
