Home,Away,Score
Athletic Bilbao,Atlético Madrid,0–2
Athletic Bilbao,FC Barcelona,1–0
Athletic Bilbao,Real Betis,6–1
Athletic Bilbao,Córdoba CF,3–2
Athletic Bilbao,Elche CF,2–0
Athletic Bilbao,RCD Espanyol,3–1
Athletic Bilbao,UD Las Palmas,1–1
Athletic Bilbao,CD Málaga,1–1
Athletic Bilbao,RCD Mallorca,4–0
Athletic Bilbao,Pontevedra CF,2–0
Athletic Bilbao,Real Madrid C.F.,2–0
Athletic Bilbao,CE Sabadell FC,3–0
Athletic Bilbao,Sevilla FC,1–0
Athletic Bilbao,Valencia CF,1–0
Athletic Bilbao,Real Zaragoza,2–0
Atlético Madrid,Athletic Bilbao,1–0
Atlético Madrid,FC Barcelona,0–1
Atlético Madrid,Real Betis,3–0
Atlético Madrid,Córdoba CF,2–0
Atlético Madrid,Elche CF,3–0
Atlético Madrid,RCD Espanyol,5–2
Atlético Madrid,UD Las Palmas,2–0
Atlético Madrid,CD Málaga,1–0
Atlético Madrid,RCD Mallorca,1–0
Atlético Madrid,Pontevedra CF,4–0
Atlético Madrid,Real Madrid C.F.,1–1
Atlético Madrid,CE Sabadell FC,3–0
Atlético Madrid,Sevilla FC,6–1
Atlético Madrid,Valencia CF,2–2
Atlético Madrid,Real Zaragoza,0–1
FC Barcelona,Athletic Bilbao,1–0
FC Barcelona,Atlético Madrid,1–4
FC Barcelona,Real Betis,4–1
FC Barcelona,Córdoba CF,3–1
FC Barcelona,Elche CF,0–0
FC Barcelona,RCD Espanyol,4–2
FC Barcelona,UD Las Palmas,3–2
FC Barcelona,CD Málaga,4–0
FC Barcelona,RCD Mallorca,3–1
FC Barcelona,Pontevedra CF,3–0
FC Barcelona,Real Madrid C.F.,2–1
FC Barcelona,CE Sabadell FC,5–0
FC Barcelona,Sevilla FC,3–0
FC Barcelona,Valencia CF,1–2
FC Barcelona,Real Zaragoza,0–1
Real Betis,Athletic Bilbao,2–0
Real Betis,Atlético Madrid,1–2
Real Betis,FC Barcelona,0–0
Real Betis,Córdoba CF,0–4
Real Betis,Elche CF,2–1
Real Betis,RCD Espanyol,1–1
Real Betis,UD Las Palmas,1–0
Real Betis,CD Málaga,4–0
Real Betis,RCD Mallorca,1–2
Real Betis,Pontevedra CF,3–0
Real Betis,Real Madrid C.F.,1–2
Real Betis,CE Sabadell FC,2–1
Real Betis,Sevilla FC,1–2
Real Betis,Valencia CF,1–1
Real Betis,Real Zaragoza,1–0
Córdoba CF,Athletic Bilbao,1–0
Córdoba CF,Atlético Madrid,0–1
Córdoba CF,FC Barcelona,0–0
Córdoba CF,Real Betis,3–3
Córdoba CF,Elche CF,1–0
Córdoba CF,RCD Espanyol,2–1
Córdoba CF,UD Las Palmas,1–1
Córdoba CF,CD Málaga,1–0
Córdoba CF,RCD Mallorca,2–0
Córdoba CF,Pontevedra CF,0–2
Córdoba CF,Real Madrid C.F.,1–2
Córdoba CF,CE Sabadell FC,3–0
Córdoba CF,Sevilla FC,0–0
Córdoba CF,Valencia CF,1–0
Córdoba CF,Real Zaragoza,2–1
Elche CF,Athletic Bilbao,0–0
Elche CF,Atlético Madrid,0–0
Elche CF,FC Barcelona,1–0
Elche CF,Real Betis,1–1
Elche CF,Córdoba CF,2–0
Elche CF,RCD Espanyol,3–0
Elche CF,UD Las Palmas,1–1
Elche CF,CD Málaga,0–2
Elche CF,RCD Mallorca,3–2
Elche CF,Pontevedra CF,2–0
Elche CF,Real Madrid C.F.,1–0
Elche CF,CE Sabadell FC,0–0
Elche CF,Sevilla FC,1–1
Elche CF,Valencia CF,2–1
Elche CF,Real Zaragoza,3–1
RCD Espanyol,Athletic Bilbao,3–4
RCD Espanyol,Atlético Madrid,0–2
RCD Espanyol,FC Barcelona,1–1
RCD Espanyol,Real Betis,1–1
RCD Espanyol,Córdoba CF,1–0
RCD Espanyol,Elche CF,0–3
RCD Espanyol,UD Las Palmas,1–1
RCD Espanyol,CD Málaga,3–2
RCD Espanyol,RCD Mallorca,1–1
RCD Espanyol,Pontevedra CF,2–0
RCD Espanyol,Real Madrid C.F.,1–1
RCD Espanyol,CE Sabadell FC,2–1
RCD Espanyol,Sevilla FC,1–0
RCD Espanyol,Valencia CF,2–0
RCD Espanyol,Real Zaragoza,1–1
UD Las Palmas,Athletic Bilbao,1–1
UD Las Palmas,Atlético Madrid,1–1
UD Las Palmas,FC Barcelona,2–1
UD Las Palmas,Real Betis,4–1
UD Las Palmas,Córdoba CF,5–1
UD Las Palmas,Elche CF,1–0
UD Las Palmas,RCD Espanyol,1–1
UD Las Palmas,CD Málaga,2–0
UD Las Palmas,RCD Mallorca,0–0
UD Las Palmas,Pontevedra CF,0–1
UD Las Palmas,Real Madrid C.F.,1–2
UD Las Palmas,CE Sabadell FC,1–0
UD Las Palmas,Sevilla FC,1–0
UD Las Palmas,Valencia CF,0–2
