Home,Away,Score
Atlético Bilbao,Atlético Madrid,0–0
Atlético Bilbao,FC Barcelona,2–0
Atlético Bilbao,Córdoba CF,2–0
Atlético Bilbao,Elche CF,3–2
Atlético Bilbao,RCD Espanyol,5–2
Atlético Bilbao,Levante UD,0–0
Atlético Bilbao,Pontevedra CF,3–1
Atlético Bilbao,Real Murcia,1–1
Atlético Bilbao,Real Oviedo,0–1
Atlético Bilbao,Real Betis,1–2
Atlético Bilbao,Real Madrid C.F.,2–3
Atlético Bilbao,Sevilla FC,3–0
Atlético Bilbao,Valencia CF,3–1
Atlético Bilbao,Real Valladolid,4–0
Atlético Bilbao,Real Zaragoza,1–0
Atlético Madrid,Atlético Bilbao,2–0
Atlético Madrid,FC Barcelona,1–0
Atlético Madrid,Córdoba CF,5–1
Atlético Madrid,Elche CF,1–1
Atlético Madrid,RCD Espanyol,2–0
Atlético Madrid,Levante UD,4–0
Atlético Madrid,Pontevedra CF,3–2
Atlético Madrid,Real Murcia,2–1
Atlético Madrid,Real Oviedo,0–1
Atlético Madrid,Real Betis,0–0
Atlético Madrid,Real Madrid C.F.,0–1
Atlético Madrid,Sevilla FC,1–1
Atlético Madrid,Valencia CF,0–1
Atlético Madrid,Real Valladolid,3–1
Atlético Madrid,Real Zaragoza,0–2
FC Barcelona,Atlético Bilbao,2–1
FC Barcelona,Atlético Madrid,3–1
FC Barcelona,Córdoba CF,3–1
FC Barcelona,Elche CF,3–0
FC Barcelona,RCD Espanyol,5–0
FC Barcelona,Levante UD,6–2
FC Barcelona,Pontevedra CF,3–1
FC Barcelona,Real Murcia,4–1
FC Barcelona,Real Oviedo,2–1
FC Barcelona,Real Betis,4–1
FC Barcelona,Real Madrid C.F.,1–2
FC Barcelona,Sevilla FC,6–0
FC Barcelona,Valencia CF,4–0
FC Barcelona,Real Valladolid,2–1
FC Barcelona,Real Zaragoza,3–3
Córdoba CF,Atlético Bilbao,2–0
Córdoba CF,Atlético Madrid,1–1
Córdoba CF,FC Barcelona,0–2
Córdoba CF,Elche CF,2–0
Córdoba CF,RCD Espanyol,3–0
Córdoba CF,Levante UD,4–0
Córdoba CF,Pontevedra CF,1–0
Córdoba CF,Real Murcia,2–1
Córdoba CF,Real Oviedo,2–1
Córdoba CF,Real Betis,1–0
Córdoba CF,Real Madrid C.F.,0–1
Córdoba CF,Sevilla FC,2–0
Córdoba CF,Valencia CF,1–0
Córdoba CF,Real Valladolid,0–0
Córdoba CF,Real Zaragoza,0–1
Elche CF,Atlético Bilbao,1–2
Elche CF,Atlético Madrid,2–0
Elche CF,FC Barcelona,0–0
Elche CF,Córdoba CF,2–1
Elche CF,RCD Espanyol,1–0
Elche CF,Levante UD,2–2
Elche CF,Pontevedra CF,2–0
Elche CF,Real Murcia,3–1
Elche CF,Real Oviedo,2–1
Elche CF,Real Betis,1–1
Elche CF,Real Madrid C.F.,2–0
Elche CF,Sevilla FC,2–1
Elche CF,Valencia CF,2–1
Elche CF,Real Valladolid,2–0
Elche CF,Real Zaragoza,1–0
RCD Espanyol,Atlético Bilbao,4–0
RCD Espanyol,Atlético Madrid,0–0
RCD Espanyol,FC Barcelona,2–2
RCD Espanyol,Córdoba CF,2–0
RCD Espanyol,Elche CF,1–0
RCD Espanyol,Levante UD,4–4
RCD Espanyol,Pontevedra CF,0–0
RCD Espanyol,Real Murcia,2–1
RCD Espanyol,Real Oviedo,3–0
RCD Espanyol,Real Betis,1–1
RCD Espanyol,Real Madrid C.F.,1–0
RCD Espanyol,Sevilla FC,1–0
RCD Espanyol,Valencia CF,2–1
RCD Espanyol,Real Valladolid,2–0
RCD Espanyol,Real Zaragoza,3–0
Levante UD,Atlético Bilbao,2–1
Levante UD,Atlético Madrid,2–1
Levante UD,FC Barcelona,4–5
Levante UD,Córdoba CF,1–0
Levante UD,Elche CF,0–1
Levante UD,RCD Espanyol,3–1
Levante UD,Pontevedra CF,3–1
Levante UD,Real Murcia,3–0
Levante UD,Real Oviedo,3–0
Levante UD,Real Betis,0–1
Levante UD,Real Madrid C.F.,0–1
Levante UD,Sevilla FC,1–1
Levante UD,Valencia CF,1–0
Levante UD,Real Valladolid,1–0
Levante UD,Real Zaragoza,1–1
Pontevedra CF,Atlético Bilbao,2–0
Pontevedra CF,Atlético Madrid,0–1
Pontevedra CF,FC Barcelona,0–2
Pontevedra CF,Córdoba CF,2–1
Pontevedra CF,Elche CF,0–1
Pontevedra CF,RCD Espanyol,3–1
Pontevedra CF,Levante UD,1–1
Pontevedra CF,Real Murcia,2–1
Pontevedra CF,Real Oviedo,4–1
Pontevedra CF,Real Betis,2–0
Pontevedra CF,Real Madrid C.F.,1–0
Pontevedra CF,Sevilla FC,0–0
Pontevedra CF,Valencia CF,0–1
Pontevedra CF,Real Valladolid,1–2
Pontevedra CF,Real Zaragoza,1–1
Real Murcia,Atlético Bilbao,2–0
Real Murcia,Atlético Madrid,2–1
Real Murcia,FC Barcelona,1–5
Real Murcia,Córdoba CF,1–1
Real Murcia,Elche CF,2–2
Real Murcia,RCD Espanyol,1–0
Real Murcia,Levante UD,1–0
Real Murcia,Pontevedra CF,2–1
Real Murcia,Real Oviedo,1–0
Real Murcia,Real Betis,2–3
Real Murcia,Real Madrid C.F.,0–3
Real Murcia,Sevilla FC,3–1
Real Murcia,Valencia CF,2–0
Real Murcia,Real Valladolid,2–1
Real Murcia,Real Zaragoza,2–0
