Home,Away,Score
UD Almería,Athletic Bilbao,0–0
UD Almería,Atlético Madrid,2–0
UD Almería,FC Barcelona,0–2
UD Almería,RC Celta de Vigo,2–4
UD Almería,Elche CF,2–2
UD Almería,RCD Espanyol,0–0
UD Almería,Getafe CF,1–0
UD Almería,Granada CF,3–0
UD Almería,Levante UD,2–2
UD Almería,Málaga CF,0–0
UD Almería,CA Osasuna,1–2
UD Almería,Rayo Vallecano,0–1
UD Almería,Real Betis,3–2
UD Almería,Real Madrid CF,0–5
UD Almería,Real Sociedad,4–3
UD Almería,Sevilla FC,1–3
UD Almería,Valencia CF,2–2
UD Almería,Real Valladolid,1–0
UD Almería,Villarreal CF,2–3
Athletic Bilbao,UD Almería,6–1
Athletic Bilbao,Atlético Madrid,1–2
Athletic Bilbao,FC Barcelona,1–0
Athletic Bilbao,RC Celta de Vigo,3–2
Athletic Bilbao,Elche CF,2–2
Athletic Bilbao,RCD Espanyol,1–2
Athletic Bilbao,Getafe CF,1–0
Athletic Bilbao,Granada CF,4–0
Athletic Bilbao,Levante UD,2–1
Athletic Bilbao,Málaga CF,3–0
Athletic Bilbao,CA Osasuna,2–0
Athletic Bilbao,Rayo Vallecano,2–1
Athletic Bilbao,Real Betis,2–1
Athletic Bilbao,Real Madrid CF,1–1
Athletic Bilbao,Real Sociedad,1–1
Athletic Bilbao,Sevilla FC,3–1
Athletic Bilbao,Valencia CF,1–1
Athletic Bilbao,Real Valladolid,4–2
Athletic Bilbao,Villarreal CF,2–0
Atlético Madrid,UD Almería,4–2
Atlético Madrid,Athletic Bilbao,2–0
Atlético Madrid,FC Barcelona,0–0
Atlético Madrid,RC Celta de Vigo,2–1
Atlético Madrid,Elche CF,2–0
Atlético Madrid,RCD Espanyol,1–0
Atlético Madrid,Getafe CF,7–0
Atlético Madrid,Granada CF,1–0
Atlético Madrid,Levante UD,3–2
Atlético Madrid,Málaga CF,1–1
Atlético Madrid,CA Osasuna,2–1
Atlético Madrid,Rayo Vallecano,5–0
Atlético Madrid,Real Betis,5–0
Atlético Madrid,Real Madrid CF,2–2
Atlético Madrid,Real Sociedad,4–0
Atlético Madrid,Sevilla FC,1–1
Atlético Madrid,Valencia CF,3–0
Atlético Madrid,Real Valladolid,3–0
Atlético Madrid,Villarreal CF,1–0
FC Barcelona,UD Almería,4–1
FC Barcelona,Athletic Bilbao,2–1
FC Barcelona,Atlético Madrid,1–1
FC Barcelona,RC Celta de Vigo,3–0
FC Barcelona,Elche CF,4–0
FC Barcelona,RCD Espanyol,1–0
FC Barcelona,Getafe CF,2–2
FC Barcelona,Granada CF,4–0
FC Barcelona,Levante UD,7–0
FC Barcelona,Málaga CF,3–0
FC Barcelona,CA Osasuna,7–0
FC Barcelona,Rayo Vallecano,6–0
FC Barcelona,Real Betis,3–1
FC Barcelona,Real Madrid CF,2–1
FC Barcelona,Real Sociedad,4–1
FC Barcelona,Sevilla FC,3–2
FC Barcelona,Valencia CF,2–3
FC Barcelona,Real Valladolid,4–1
FC Barcelona,Villarreal CF,2–1
RC Celta de Vigo,UD Almería,3–1
RC Celta de Vigo,Athletic Bilbao,0–0
RC Celta de Vigo,Atlético Madrid,0–2
