position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
2,Sevilla,30,17,4,9,79,46,+33,38,1950-51
6,Sevilla,30,14,4,12,69,57,+12,32,1951-52
5,Sevilla,30,16,2,12,70,57,+13,34,1952-53
5,Sevilla,30,15,2,13,57,49,+8,32,1953-54
4,Sevilla,30,15,4,11,74,58,+16,34,1954-55
4,Sevilla,30,17,2,11,75,44,+31,36,1955-56
2,Sevilla,30,17,5,8,64,49,+15,39,1956-57
10,Sevilla,30,9,7,14,45,55,−10,25,1957-58
12,Sevilla,30,12,2,16,44,58,−14,26,1958-59
4,Sevilla,30,16,4,10,63,44,+19,36,1959-60
