position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
2,Atlético Madrid,30,17,6,7,57,35,+22,40,1960-61
3,Atlético Madrid,30,15,6,9,50,36,+14,36,1961-62
2,Atlético Madrid,30,14,9,7,61,36,+25,37,1962-63
7,Atlético Madrid,30,10,9,11,37,34,+3,29,1963-64
2,Atlético Madrid,30,20,3,7,58,27,+31,43,1964-65
1,Atlético Madrid,30,18,8,4,54,20,+34,44,1965-66
4,Atlético Madrid,30,14,7,9,57,30,+27,35,1966-67
6,Atlético Madrid,30,12,9,9,38,32,+6,33,1967-68
6,Atlético Madrid,30,10,10,10,40,37,+3,30,1968-69
1,Atlético Madrid,30,18,6,6,53,22,+31,42,1969-70
