position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
5,Valencia,30,11,10,9,46,42,+4,32,1960-61
7,Valencia,30,12,7,11,50,50,0,31,1961-62
7,Valencia,30,14,3,13,49,36,+13,31,1962-63
6,Valencia,30,16,0,14,53,47,+6,32,1963-64
4,Valencia,30,17,4,9,59,37,+22,38,1964-65
9,Valencia,30,11,5,14,40,35,+5,27,1965-66
6,Valencia,30,14,4,12,58,37,+21,32,1966-67
4,Valencia,30,13,8,9,52,38,+14,34,1967-68
5,Valencia,30,10,11,9,36,39,−3,31,1968-69
5,Valencia,30,15,5,10,35,23,+12,35,1969-70
