position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,34,22,3,9,77,40,+37,47
2,Barcelona,34,16,9,9,49,29,+20,41
3,Athletic Bilbao,34,16,8,10,62,36,+26,40
4,Valencia,34,16,7,11,54,33,+21,39
5,Sporting Gijón,34,15,9,10,53,43,+10,39
6,Atlético Madrid,34,16,4,14,61,52,+9,36
7,Las Palmas,34,12,11,11,43,41,+2,35
8,Sevilla,34,13,8,13,38,45,−7,34
9,Salamanca,34,14,6,14,37,40,−3,34
10,Rayo Vallecano,34,12,9,13,50,59,−9,33
11,Real Sociedad,34,12,9,13,52,46,+6,33
12,Burgos,34,10,11,13,33,47,−14,31
13,Racing Santander,34,11,9,14,29,45,−16,31
14,Español,34,12,6,16,48,60,−12,30
15,Hércules,34,10,10,14,32,40,−8,30
16,Real Betis,34,11,8,15,51,52,−1,30
17,Elche,34,11,5,18,44,66,−22,27
18,Cádiz,34,7,8,19,30,69,−39,22
