position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,34,20,8,6,54,26,+28,48
2,Barcelona,34,18,7,9,61,41,+20,43
3,Atlético Madrid,34,18,6,10,60,38,+22,42
4,Español,34,18,4,12,48,45,+3,40
5,Athletic Bilbao,34,14,11,9,43,38,+5,39
6,Hércules,34,12,12,10,33,37,−4,36
7,Real Betis,34,15,5,14,34,50,−16,35
8,Real Sociedad,34,12,10,12,45,45,0,34
9,Salamanca,34,12,10,12,31,33,−2,34
10,Valencia,34,12,8,14,43,41,+2,32
11,Sevilla,34,13,6,15,35,39,−4,32
12,Racing Santander,34,14,4,16,45,56,−11,32
13,Las Palmas,34,12,6,16,39,43,−4,30
14,Zaragoza,34,11,8,15,45,43,+2,30
15,Elche,34,8,12,14,38,49,−11,28
16,Oviedo,34,11,5,18,41,45,−4,27
17,Granada,34,8,10,16,29,50,−21,26
18,Sporting Gijón,34,7,10,17,41,46,−5,24
